top_level,mid_level,feature_name
geometric,distance_geometry,distance_geometry_1_1
geometric,distance_geometry,distance_geometry_2_1
geometric,distance_geometry,distance_geometry_2_2
geometric,distance_geometry,distance_geometry_3_1
geometric,distance_geometry,distance_geometry_3_2
geometric,distance_geometry,distance_geometry_3_3
geometric,distance_geometry,distance_geometry_4_1
geometric,distance_geometry,distance_geometry_4_2
geometric,distance_geometry,distance_geometry_4_3
geometric,distance_geometry,distance_geometry_4_4
geometric,distance_geometry,distance_geometry_5_1
geometric,distance_geometry,distance_geometry_5_2
geometric,distance_geometry,distance_geometry_5_3
geometric,distance_geometry,distance_geometry_5_4
geometric,distance_geometry,distance_geometry_5_5
geometric,angles,angles_0s
geometric,angles,angles_mean
geometric,angles,angles_meanse
geometric,angles,angles_quant_min
geometric,angles,angles_quant_05
geometric,angles,angles_quant_10
geometric,angles,angles_quant_25
geometric,angles,angles_quant_median
geometric,angles,angles_quant_75
geometric,angles,angles_quant_90
geometric,angles,angles_quant_95
geometric,angles,angles_quant_max
geometric,angles,angles_range
geometric,angles,angles_sd
geometric,angles,angles_vcoef
geometric,angles,angles_mad
geometric,angles,angles_iqr
geometric,angles,angles_skew
geometric,angles,angles_kurt
kinematic,speed,speed_0s
kinematic,speed,speed_mean
kinematic,speed,speed_meanse
kinematic,speed,speed_quant_min
kinematic,speed,speed_quant_05
kinematic,speed,speed_quant_10
kinematic,speed,speed_quant_25
kinematic,speed,speed_quant_median
kinematic,speed,speed_quant_75
kinematic,speed,speed_quant_90
kinematic,speed,speed_quant_95
kinematic,speed,speed_quant_max
kinematic,speed,speed_range
kinematic,speed,speed_sd
kinematic,speed,speed_vcoef
kinematic,speed,speed_mad
kinematic,speed,speed_iqr
kinematic,speed,speed_skew
kinematic,speed,speed_kurt
kinematic,acceleration,acceleration_0s
kinematic,acceleration,acceleration_mean
kinematic,acceleration,acceleration_meanse
kinematic,acceleration,acceleration_quant_min
kinematic,acceleration,acceleration_quant_05
kinematic,acceleration,acceleration_quant_10
kinematic,acceleration,acceleration_quant_25
kinematic,acceleration,acceleration_quant_median
kinematic,acceleration,acceleration_quant_75
kinematic,acceleration,acceleration_quant_90
kinematic,acceleration,acceleration_quant_95
kinematic,acceleration,acceleration_quant_max
kinematic,acceleration,acceleration_range
kinematic,acceleration,acceleration_sd
kinematic,acceleration,acceleration_vcoef
kinematic,acceleration,acceleration_mad
kinematic,acceleration,acceleration_iqr
kinematic,acceleration,acceleration_skew
kinematic,acceleration,acceleration_kurt
