seed,model,description,feature_name,technique,f1_macro,f1_micro
42,Decision Tree,Decision Tree (Backward Selection),distance_geometry_3_1,Backward,1.0,1.0
42,Decision Tree,Decision Tree (Backward Selection),distance_geometry_3_2,Backward,1.0,1.0
42,Decision Tree,Decision Tree (Backward Selection),distance_geometry_4_3,Backward,1.0,1.0
42,Decision Tree,Decision Tree (Backward Selection),distance_geometry_5_4,Backward,1.0,1.0
42,Decision Tree,Decision Tree (Backward Selection),distance_geometry_5_5,Backward,1.0,1.0
42,Decision Tree,Decision Tree (Backward Selection),angles_quant_10,Backward,1.0,1.0
42,Decision Tree,Decision Tree (Backward Selection),angles_quant_25,Backward,1.0,1.0
42,Decision Tree,Decision Tree (Backward Selection),angles_quant_max,Backward,1.0,1.0
42,Decision Tree,Decision Tree (Backward Selection),angles_range,Backward,1.0,1.0
42,Decision Tree,Decision Tree (Backward Selection),angles_sd,Backward,1.0,1.0
42,Decision Tree,Decision Tree (Backward Selection),angles_iqr,Backward,1.0,1.0
42,Decision Tree,Decision Tree (Backward Selection),angles_kurt,Backward,1.0,1.0
42,Decision Tree,Decision Tree (Backward Selection),speed_mean,Backward,1.0,1.0
42,Decision Tree,Decision Tree (Backward Selection),speed_meanse,Backward,1.0,1.0
42,Decision Tree,Decision Tree (Backward Selection),speed_quant_min,Backward,1.0,1.0
42,Decision Tree,Decision Tree (Backward Selection),speed_quant_25,Backward,1.0,1.0
42,Decision Tree,Decision Tree (Backward Selection),speed_quant_median,Backward,1.0,1.0
42,Decision Tree,Decision Tree (Backward Selection),speed_quant_75,Backward,1.0,1.0
42,Decision Tree,Decision Tree (Backward Selection),speed_quant_90,Backward,1.0,1.0
42,Decision Tree,Decision Tree (Backward Selection),speed_quant_95,Backward,1.0,1.0
42,Decision Tree,Decision Tree (Backward Selection),speed_quant_max,Backward,1.0,1.0
42,Decision Tree,Decision Tree (Backward Selection),speed_range,Backward,1.0,1.0
42,Decision Tree,Decision Tree (Backward Selection),speed_sd,Backward,1.0,1.0
42,Decision Tree,Decision Tree (Backward Selection),speed_vcoef,Backward,1.0,1.0
42,Decision Tree,Decision Tree (Backward Selection),speed_iqr,Backward,1.0,1.0
42,Decision Tree,Decision Tree (Backward Selection),speed_skew,Backward,1.0,1.0
42,Decision Tree,Decision Tree (Backward Selection),acceleration_meanse,Backward,1.0,1.0
42,Decision Tree,Decision Tree (Backward Selection),acceleration_quant_min,Backward,1.0,1.0
42,Decision Tree,Decision Tree (Backward Selection),acceleration_quant_05,Backward,1.0,1.0
42,Decision Tree,Decision Tree (Backward Selection),acceleration_quant_25,Backward,1.0,1.0
42,Decision Tree,Decision Tree (Backward Selection),acceleration_quant_median,Backward,1.0,1.0
42,Decision Tree,Decision Tree (Backward Selection),acceleration_quant_75,Backward,1.0,1.0
42,Decision Tree,Decision Tree (Backward Selection),acceleration_vcoef,Backward,1.0,1.0
42,Decision Tree,Decision Tree (Backward Selection),acceleration_mad,Backward,1.0,1.0
42,Decision Tree,Decision Tree (Backward Selection),acceleration_iqr,Backward,1.0,1.0
42,Decision Tree,Decision Tree (Backward Selection),acceleration_kurt,Backward,1.0,1.0
