selection_model,eval_model,description,n_features,best_score,best_params
MLP,MLP,distance_geometry+angles,34,0.5683882783882783,"{'clf__alpha': 0.001, 'clf__hidden_layer_sizes': (100,), 'clf__learning_rate_init': 0.001}"
MLP,MLP,angles+acceleration,38,0.5954189601248425,"{'clf__alpha': 0.0001, 'clf__hidden_layer_sizes': (50, 50), 'clf__learning_rate_init': 0.01}"
MLP,MLP,distance_geometry,15,0.6080375764586291,"{'clf__alpha': 0.001, 'clf__hidden_layer_sizes': (50,), 'clf__learning_rate_init': 0.01}"
MLP,MLP,angles,19,0.6254873884285648,"{'clf__alpha': 0.01, 'clf__hidden_layer_sizes': (100,), 'clf__learning_rate_init': 0.001}"
MLP,MLP,angles+speed,38,0.6257389669154374,"{'clf__alpha': 0.0001, 'clf__hidden_layer_sizes': (100,), 'clf__learning_rate_init': 0.0001}"
MLP,MLP,distance_geometry+angles+speed,53,0.5748920017031472,"{'clf__alpha': 0.0001, 'clf__hidden_layer_sizes': (100,), 'clf__learning_rate_init': 0.0001}"
MLP,MLP,distance_geometry+speed+acceleration,53,0.5590413954810239,"{'clf__alpha': 0.0001, 'clf__hidden_layer_sizes': (50,), 'clf__learning_rate_init': 0.0001}"
MLP,MLP,distance_geometry+angles+acceleration,53,0.6281025510437275,"{'clf__alpha': 0.0001, 'clf__hidden_layer_sizes': (50,), 'clf__learning_rate_init': 0.0001}"
MLP,MLP,distance_geometry+acceleration,34,0.5219394640447271,"{'clf__alpha': 0.0001, 'clf__hidden_layer_sizes': (50, 50), 'clf__learning_rate_init': 0.01}"
MLP,MLP,acceleration,19,0.4957802981332392,"{'clf__alpha': 0.0001, 'clf__hidden_layer_sizes': (100,), 'clf__learning_rate_init': 0.001}"
MLP,MLP,distance_geometry+angles+speed+acceleration,72,0.6019034560211031,"{'clf__alpha': 0.0001, 'clf__hidden_layer_sizes': (50, 50), 'clf__learning_rate_init': 0.01}"
MLP,MLP,speed,19,0.4993363172774937,"{'clf__alpha': 0.01, 'clf__hidden_layer_sizes': (50,), 'clf__learning_rate_init': 0.01}"
MLP,MLP,angles+speed+acceleration,57,0.5589344951574053,"{'clf__alpha': 0.0001, 'clf__hidden_layer_sizes': (50,), 'clf__learning_rate_init': 0.0001}"
MLP,MLP,speed+acceleration,38,0.4861142297674805,"{'clf__alpha': 0.0001, 'clf__hidden_layer_sizes': (100,), 'clf__learning_rate_init': 0.0001}"
MLP,MLP,distance_geometry+speed,34,0.5281067625185274,"{'clf__alpha': 0.0001, 'clf__hidden_layer_sizes': (50,), 'clf__learning_rate_init': 0.001}"
